# HELP registry_type_output_count Number of Output extension.
# TYPE registry_type_output_count counter
registry_type_output_count 1 1733945081492
# HELP registry_category_data_count Number of extensions in the 'data' category.
# TYPE registry_category_data_count counter
registry_category_data_count 2 1733945081492
# HELP registry_category_kubernetes_count Number of extensions in the 'kubernetes' category.
# TYPE registry_category_kubernetes_count counter
registry_category_kubernetes_count 1 1733945081492
# HELP registry_extension_count The total number of extensions.
# TYPE registry_extension_count counter
registry_extension_count 4 1733945081492
# HELP registry_grade_a_count Number of A-grade extensions.
# TYPE registry_grade_a_count counter
registry_grade_a_count 1 1733945081492
# HELP registry_issue_types_count Number of extensions without API declaration file.
# TYPE registry_issue_types_count counter
registry_issue_types_count 1 1733945081492
# HELP registry_tier_official_count Number of extensions in the 'official' tier.
# TYPE registry_tier_official_count counter
registry_tier_official_count 4 1733945081492
# HELP registry_grade_b_count Number of B-grade extensions.
# TYPE registry_grade_b_count counter
registry_grade_b_count 2 1733945081492
# HELP registry_product_oss_count Number of extensions available in Grafana k6.
# TYPE registry_product_oss_count counter
registry_product_oss_count 4 1733945081492
# HELP registry_category_observability_count Number of extensions in the 'observability' category.
# TYPE registry_category_observability_count counter
registry_category_observability_count 1 1733945081492
# HELP registry_grade_c_count Number of C-grade extensions.
# TYPE registry_grade_c_count counter
registry_grade_c_count 1 1733945081492
# HELP registry_issue_smoke_count Number of extensions without smoke test script.
# TYPE registry_issue_smoke_count counter
registry_issue_smoke_count 3 1733945081492
# HELP registry_category_reporting_count Number of extensions in the 'reporting' category.
# TYPE registry_category_reporting_count counter
registry_category_reporting_count 1 1733945081492
# HELP registry_issue_examples_count Number of extensions without examples directory.
# TYPE registry_issue_examples_count counter
registry_issue_examples_count 1 1733945081492
# HELP registry_product_cloud_count Number of extensions available in Grafana Cloud k6.
# TYPE registry_product_cloud_count counter
registry_product_cloud_count 1 1733945081492
# HELP registry_type_javascript_count Number of JavaScript extension.
# TYPE registry_type_javascript_count counter
registry_type_javascript_count 3 1733945081492
